well,gain_from_well,gain_scan,template
U00--V00,U00--V00,true,
U01--V00,U00--V00,,
U02--V00,U00--V00,,
U03--V00,U03--V00,true,
U04--V00,U03--V00,,
U05--V00,U03--V00,,
U06--V00,U06--V00,true,
U07--V00,U06--V00,,
U08--V00,U06--V00,,
U09--V00,U09--V00,true,
U10--V00,U09--V00,,
U11--V00,U09--V00,,
U00--V01,U00--V01,true,
U01--V01,U00--V01,,
U02--V01,U00--V01,,
U03--V01,U03--V01,true,
U04--V01,U03--V01,,
U05--V01,U03--V01,,
U06--V01,U06--V01,true,
U07--V01,U06--V01,,
U08--V01,U06--V01,,
U09--V01,U09--V01,true,
U10--V01,U09--V01,,
U11--V01,U09--V01,,
U00--V02,U00--V02,true,
U01--V02,U00--V02,,
U02--V02,U00--V02,,
U03--V02,U03--V02,true,
U04--V02,U03--V02,,
U05--V02,U03--V02,,
U06--V02,U06--V02,true,
U07--V02,U06--V02,,
U08--V02,U06--V02,,
U09--V02,U09--V02,true,
U10--V02,U09--V02,,
U11--V02,U09--V02,,
U00--V03,U00--V03,true,
U01--V03,U00--V03,,
U02--V03,U00--V03,,
U03--V03,U03--V03,true,
U04--V03,U03--V03,,
U05--V03,U03--V03,,
U06--V03,U06--V03,true,
U07--V03,U06--V03,,
U08--V03,U06--V03,,
U09--V03,U09--V03,true,
U10--V03,U09--V03,,
U11--V03,U09--V03,,
U00--V04,U00--V04,true,
U01--V04,U00--V04,,
U02--V04,U00--V04,,
U03--V04,U03--V04,true,
U04--V04,U03--V04,,
U05--V04,U03--V04,,
U06--V04,U06--V04,true,
U07--V04,U06--V04,,
U08--V04,U06--V04,,
U09--V04,U09--V04,true,
U10--V04,U09--V04,,
U11--V04,U09--V04,,
U00--V05,U00--V05,true,
U01--V05,U00--V05,,
U02--V05,U00--V05,,
U03--V05,U03--V05,true,
U04--V05,U03--V05,,
U05--V05,U03--V05,,
U06--V05,U06--V05,true,
U07--V05,U06--V05,,
U08--V05,U06--V05,,
U09--V05,U09--V05,true,
U10--V05,U09--V05,,
U11--V05,U09--V05,,
U00--V06,U00--V06,true,
U01--V06,U00--V06,,
U02--V06,U00--V06,,
U03--V06,U03--V06,true,
U04--V06,U03--V06,,
U05--V06,U03--V06,,
U06--V06,U06--V06,true,
U07--V06,U06--V06,,
U08--V06,U06--V06,,
U09--V06,U09--V06,true,
U10--V06,U09--V06,,
U11--V06,U09--V06,,
U00--V07,U00--V07,true,
U01--V07,U00--V07,,
U02--V07,U00--V07,,
U03--V07,U03--V07,true,
U04--V07,U03--V07,,
U05--V07,U03--V07,,
U06--V07,U06--V07,true,
U07--V07,U06--V07,,
U08--V07,U06--V07,,
U09--V07,U09--V07,true,
U10--V07,U09--V07,,
U11--V07,U09--V07,,
